player_id,team_name
23312,Los Angeles Clippers
23114,Houston Rockets
23000,Golden State Warriors
23012,New Orleans Pelicans
23148,Cleveland Cavaliers
22952,Chicago Bulls
23480,Oklahoma City Thunder
23180,Los Angeles Clippers
23154,Cleveland Cavaliers
23215,Portland Trail Blazers
23103,Los Angeles Clippers
23074,Chicago Bulls
23204,Denver Nuggets
23123,Utah Jazz
23220,Cleveland Cavaliers
23460,Toronto Raptors
23352,Los Angeles Clippers
23446,Golden State Warriors
23073,Memphis Grizzlies
23490,Toronto Raptors
23298,Dallas Mavericks
23139,Atlanta Hawks
23221,Toronto Raptors
23082,Utah Jazz
23055,Utah Jazz
23431,Atlanta Hawks
23196,Atlanta Hawks
23038,San Antonio Spurs
22875,Portland Trail Blazers
23075,Sacramento Kings
23465,Orlando Magic
23089,Washington Wizards
23311,Toronto Raptors
23273,Oklahoma City Thunder
22964,Atlanta Hawks
23212,San Antonio Spurs
22986,Memphis Grizzlies
23264,Atlanta Hawks
23092,San Antonio Spurs
23232,Portland Trail Blazers
23310,Dallas Mavericks
23040,Oklahoma City Thunder
22902,Golden State Warriors
23021,Miami Heat
23131,Indiana Pacers
23472,Washington Wizards
23053,Denver Nuggets
23166,Toronto Raptors
23036,Detroit Pistons
23351,Memphis Grizzlies
22908,Boston Celtics
23024,Minnesota Timberwolves
23093,Golden State Warriors
23252,Milwaukee Bucks
23321,Washington Wizards
23219,Portland Trail Blazers
23265,Chicago Bulls
23119,Orlando Magic
23067,Denver Nuggets
22984,Sacramento Kings
23144,Oklahoma City Thunder
23116,Dallas Mavericks
23186,Oklahoma City Thunder
22990,Sacramento Kings
22890,Houston Rockets
23182,San Antonio Spurs
23022,Toronto Raptors
22885,New Orleans Pelicans
23112,Toronto Raptors
23159,Detroit Pistons
23208,Memphis Grizzlies
23171,Toronto Raptors
22993,Los Angeles Clippers
23292,Chicago Bulls
23274,Houston Rockets
23050,New Orleans Pelicans
23309,San Antonio Spurs
23039,Chicago Bulls
23409,Cleveland Cavaliers
23145,Golden State Warriors
23146,Milwaukee Bucks
22911,San Antonio Spurs
23135,New Orleans Pelicans
23031,Miami Heat
22886,Milwaukee Bucks
22903,Los Angeles Clippers
23418,Golden State Warriors
23475,Indiana Pacers
23250,Detroit Pistons
23088,New Orleans Pelicans
22887,New York Knicks
22972,Denver Nuggets
22933,Miami Heat
22882,Miami Heat
23466,Miami Heat
23483,Minnesota Timberwolves
23278,Minnesota Timberwolves
22909,Portland Trail Blazers
23194,Milwaukee Bucks
23037,Milwaukee Bucks
23459,Memphis Grizzlies
23435,Houston Rockets
22894,Detroit Pistons
22969,Sacramento Kings
22979,Los Angeles Lakers
23231,Minnesota Timberwolves
23428,Indiana Pacers
22867,Oklahoma City Thunder
23429,Boston Celtics
23462,Toronto Raptors
23328,New Orleans Pelicans
23471,Charlotte Hornets
23151,Oklahoma City Thunder
23216,Los Angeles Lakers
23453,Detroit Pistons
23438,Boston Celtics
23383,Indiana Pacers
22931,Utah Jazz
22918,Houston Rockets
22939,Chicago Bulls
23101,Memphis Grizzlies
23179,Houston Rockets
23247,Sacramento Kings
23486,Sacramento Kings
22991,Philadelphia 76ers
23514,Charlotte Hornets
23143,Washington Wizards
22996,Boston Celtics
23209,Golden State Warriors
22899,Golden State Warriors
23213,Portland Trail Blazers
23384,Atlanta Hawks
23491,Charlotte Hornets
23303,Boston Celtics
23302,Orlando Magic
23217,Golden State Warriors
22915,San Antonio Spurs
23426,New York Knicks
23058,Orlando Magic
23479,Indiana Pacers
23081,San Antonio Spurs
23043,Dallas Mavericks
23140,Houston Rockets
23157,Dallas Mavericks
23020,Cleveland Cavaliers
22870,Denver Nuggets
23155,Charlotte Hornets
23305,Milwaukee Bucks
22913,Washington Wizards
23125,Charlotte Hornets
23253,Indiana Pacers
23023,San Antonio Spurs
23444,Philadelphia 76ers
23374,Toronto Raptors
22951,Detroit Pistons
23138,Utah Jazz
22930,San Antonio Spurs
23497,Miami Heat
22878,Dallas Mavericks
23417,Chicago Bulls
23044,Miami Heat
23461,Cleveland Cavaliers
23161,Detroit Pistons
23282,Atlanta Hawks
23177,Cleveland Cavaliers
22959,Detroit Pistons
23382,Atlanta Hawks
23132,Los Angeles Lakers
22950,Utah Jazz
22897,New Orleans Pelicans
22945,Minnesota Timberwolves
23042,Los Angeles Lakers
23510,Los Angeles Lakers
23128,Indiana Pacers
23329,Washington Wizards
22938,Houston Rockets
22953,Washington Wizards
22985,Oklahoma City Thunder
23175,Los Angeles Lakers
22865,New York Knicks
23199,Oklahoma City Thunder
23255,Washington Wizards
22877,Memphis Grizzlies
23133,Indiana Pacers
23234,Milwaukee Bucks
23445,Sacramento Kings
23401,Indiana Pacers
23276,Denver Nuggets
23048,Utah Jazz
23396,New York Knicks
23493,Minnesota Timberwolves
22970,Miami Heat
23385,Atlanta Hawks
22949,Utah Jazz
23201,New York Knicks
23227,Cleveland Cavaliers
23399,Detroit Pistons
23512,Minnesota Timberwolves
23449,Boston Celtics
23389,Washington Wizards
23237,Sacramento Kings
23111,Minnesota Timberwolves
22901,New York Knicks
22958,New York Knicks
23113,New York Knicks
23402,Boston Celtics
23066,Orlando Magic
22925,Portland Trail Blazers
23238,Portland Trail Blazers
23019,Orlando Magic
23507,Portland Trail Blazers
22873,Philadelphia 76ers
23068,New York Knicks
23340,New York Knicks
23077,Denver Nuggets
23142,Minnesota Timberwolves
23360,Charlotte Hornets
23262,San Antonio Spurs
23463,Dallas Mavericks
23376,Indiana Pacers
22907,Denver Nuggets
23243,Oklahoma City Thunder
23456,Los Angeles Clippers
23059,Denver Nuggets
23158,Atlanta Hawks
23130,Washington Wizards
23147,Utah Jazz
23359,Oklahoma City Thunder
23397,Philadelphia 76ers
23129,Denver Nuggets
22997,New Orleans Pelicans
23083,Washington Wizards
23301,Orlando Magic
22889,Atlanta Hawks
23224,Atlanta Hawks
22992,Portland Trail Blazers
23410,New York Knicks
22922,Houston Rockets
23290,Denver Nuggets
22983,New Orleans Pelicans
23344,Boston Celtics
22934,Boston Celtics
23026,Houston Rockets
23434,Washington Wizards
23308,Milwaukee Bucks
23120,Miami Heat
23049,Sacramento Kings
23188,Los Angeles Lakers
22962,Philadelphia 76ers
23357,New Orleans Pelicans
23169,Utah Jazz
22940,Los Angeles Lakers
23286,Minnesota Timberwolves
22910,Milwaukee Bucks
23085,Orlando Magic
23369,Philadelphia 76ers
23378,Los Angeles Lakers
23268,Chicago Bulls
23228,Milwaukee Bucks
23355,Orlando Magic
23420,Sacramento Kings
23335,Indiana Pacers
23008,Boston Celtics
23332,Dallas Mavericks
23482,Indiana Pacers
23296,Utah Jazz
23214,Memphis Grizzlies
23014,Los Angeles Clippers
23136,Golden State Warriors
23338,Los Angeles Lakers
23054,Los Angeles Clippers
23090,Miami Heat
23433,Oklahoma City Thunder
23223,Detroit Pistons
23005,Charlotte Hornets
23057,Toronto Raptors
23072,Minnesota Timberwolves
23392,Cleveland Cavaliers
23174,Miami Heat
23375,Minnesota Timberwolves
23464,Charlotte Hornets
23509,Boston Celtics
22947,Los Angeles Clippers
23249,Miami Heat
23086,Orlando Magic
22941,Minnesota Timberwolves
23098,Memphis Grizzlies
23106,Milwaukee Bucks
23365,Denver Nuggets
22989,Utah Jazz
23495,San Antonio Spurs
23108,Los Angeles Clippers
23063,Portland Trail Blazers
23416,Memphis Grizzlies
23141,Los Angeles Clippers
22954,Los Angeles Lakers
23307,Charlotte Hornets
23190,Minnesota Timberwolves
23316,Orlando Magic
23386,Washington Wizards
22968,Milwaukee Bucks
23373,Chicago Bulls
23333,Boston Celtics
23354,Philadelphia 76ers
22866,Memphis Grizzlies
23064,New Orleans Pelicans
23118,Cleveland Cavaliers
23056,Dallas Mavericks
23027,New Orleans Pelicans
23379,New Orleans Pelicans
22977,Utah Jazz
23363,Philadelphia 76ers
23018,Atlanta Hawks
23028,Los Angeles Clippers
23176,Los Angeles Clippers
22980,Portland Trail Blazers
23350,Boston Celtics
23489,New Orleans Pelicans
23165,Utah Jazz
23314,Atlanta Hawks
23423,Sacramento Kings
23476,Sacramento Kings
23413,Houston Rockets
22891,Denver Nuggets
22935,Atlanta Hawks
23470,Miami Heat
23258,Cleveland Cavaliers
22917,Minnesota Timberwolves
23010,Philadelphia 76ers
23430,Charlotte Hornets
23442,Philadelphia 76ers
23501,Milwaukee Bucks
23094,Denver Nuggets
23405,Oklahoma City Thunder
23484,Los Angeles Clippers
22998,Los Angeles Clippers
22973,Cleveland Cavaliers
23260,Sacramento Kings
23034,Miami Heat
22943,Miami Heat
23241,Houston Rockets
23353,Washington Wizards
22956,Toronto Raptors
22974,Utah Jazz
23257,New Orleans Pelicans
23299,Denver Nuggets
23371,Boston Celtics
23291,Orlando Magic
23440,Oklahoma City Thunder
23202,Denver Nuggets
23079,Indiana Pacers
22955,Washington Wizards
23087,Philadelphia 76ers
23251,New Orleans Pelicans
23206,Dallas Mavericks
23457,Boston Celtics
23121,Los Angeles Clippers
23134,Chicago Bulls
23469,Oklahoma City Thunder
23283,Miami Heat
23115,Orlando Magic
22884,San Antonio Spurs
23178,Oklahoma City Thunder
23025,Detroit Pistons
23473,Boston Celtics
23478,Washington Wizards
23242,Chicago Bulls
23226,Orlando Magic
23229,Detroit Pistons
22927,Los Angeles Lakers
22912,Atlanta Hawks
22957,Memphis Grizzlies
23306,Houston Rockets
22944,Los Angeles Lakers
23102,Orlando Magic
23173,Houston Rockets
23069,Houston Rockets
22965,Memphis Grizzlies
23380,Philadelphia 76ers
23107,Charlotte Hornets
22881,New York Knicks
23477,New York Knicks
23035,Philadelphia 76ers
23508,Philadelphia 76ers
22914,Miami Heat
23377,Golden State Warriors
23203,Minnesota Timberwolves
23319,Oklahoma City Thunder
23041,New York Knicks
23047,Milwaukee Bucks
23235,Philadelphia 76ers
23091,Philadelphia 76ers
22988,Indiana Pacers
23263,Utah Jazz
23051,Utah Jazz
23117,Denver Nuggets
23421,Charlotte Hornets