game_id,game_date,stadium_name,final_margin,winner
21400899,4-Mar,Barclays Center,24,away
21400890,3-Mar,Spectrum Center,1,home
21400882,1-Mar,Amway Center,15,away
21400902,4-Mar,Target Center,15,away
21400888,2-Mar,Target Center,5,away
21400898,4-Mar,TD Garden,1,home
21400894,3-Mar,FedExForum,11,away
21400904,4-Mar,Chesapeake Energy Arena,5,home
21400878,1-Mar,Staples Center,7,away
21400905,4-Mar,American Airlines Arena,6,home
21400907,4-Mar,Chase Center,9,home
21400886,2-Mar,Barclays Center,2,home
21400880,1-Mar,TD Garden,5,away
21400892,3-Mar,State Farm Arena,8,home
21400893,3-Mar,United Center,5,home
21400906,4-Mar,AT&T Center,27,home
21400669,3-Mar,Madison Square Garden,38,away
21400879,1-Mar,Golden 1 Center,11,away
21400903,4-Mar,Smoothie King Center,3,home
21400889,2-Mar,American Airlines Center,9,home
21400884,1-Mar,Pepsi Center,7,away
21400900,4-Mar,Scotiabank Arena,8,away
21400885,2-Mar,Wells Fargo Center,11,away
21400897,4-Mar,Amway Center,5,away
21400891,3-Mar,Rocket Mortgage FieldHouse,31,home
21400883,1-Mar,Toyota Center,2,home
21400896,4-Mar,Bankers Life Fieldhouse,23,home
21400881,1-Mar,Bankers Life Fieldhouse,20,home
21400887,2-Mar,American Airlines Arena,17,home
21400901,4-Mar,Toyota Center,2,away
21400895,3-Mar,Pepsi Center,11,home
21400908,4-Mar,Staples Center,5,away
21400877,1-Mar,United Center,10,away