shot_id,shot_distance,time_clock,shot_result,quarter
214008994,1.13,10.9,False,2
214008909,6.83,17.4,False,2
2140089010,7.47,16.0,False,2
2140089011,4.45,12.1,True,4
2140089012,1.8,4.3,True,4
2140088213,8.05,4.4,False,4
2140089928,4.51,1.3,False,2
2140089035,2.41,11.0,False,1
2140089036,1.8,12.3,True,1
2140089037,4.05,9.9,True,1
2140089038,4.51,9.2,False,1
2140089039,4.51,4.8,False,2
2140089040,1.83,12.8,False,2
2140089041,1.83,10.0,True,2
2140089042,2.07,10.5,False,2
2140089043,0.52,6.3,False,2
2140089044,2.5,9.0,True,2
2140089045,4.85,12.0,True,2
2140089046,0.98,6.7,True,3
2140089047,2.59,10.4,False,3
2140089048,4.88,12.0,True,3
2140089049,4.75,3.6,True,4
2140089051,1.1,11.0,True,4
2140089052,3.63,7.1,False,4
2140089053,1.19,10.0,False,4
2140088254,5.0,7.9,True,1
2140088255,2.26,13.2,False,1
2140088256,3.26,8.0,False,1
2140088257,4.88,5.1,False,1
2140088258,7.32,3.9,True,1
2140088259,3.14,6.3,False,1
2140088260,1.25,13.7,False,2
2140088261,5.06,15.2,False,3
2140088262,3.9,12.2,False,3
2140088263,4.54,11.6,True,3
2140088264,2.41,12.7,False,3
2140088265,4.82,9.4,True,4
2140088266,1.89,11.0,True,4
2140088267,6.22,7.3,False,4
2140088268,1.4,9.0,True,4
2140088269,4.88,5.0,True,4
2140089970,6.68,12.5,False,2
2140089971,3.75,4.8,False,2
2140089973,0.4,23.8,False,3
2140089080,0.52,13.0,True,1
2140089083,1.52,20.2,True,3
2140088285,0.55,24.0,True,1
2140088286,1.65,14.2,True,1
2140088287,0.21,13.9,True,1
2140088288,2.93,12.0,False,1
2140088289,5.43,11.0,True,1
2140088290,0.73,15.3,False,2
2140088291,1.22,18.0,True,3
2140088292,1.31,20.4,True,3
2140088293,1.77,22.8,True,4
2140088294,6.25,5.0,False,4
2140090295,6.19,15.4,True,1
2140090296,8.02,20.2,False,1
2140090297,7.59,0.7,False,1
2140090298,6.19,10.0,False,2
2140090299,1.46,16.1,True,3
21400902100,6.0,15.4,True,3
21400902101,3.84,16.1,True,3
21400902102,6.4,15.2,True,3
21400902103,5.94,10.9,False,4
21400902104,2.99,5.7,False,4
21400902105,7.41,11.0,False,4
21400902106,7.53,6.1,True,4
21400902107,5.61,15.2,False,4
21400888108,5.82,11.8,False,1
21400888109,7.32,13.4,False,1
21400888110,5.27,11.3,False,1
21400888111,5.67,16.0,True,1
21400888112,0.82,6.7,False,2
21400888113,7.22,7.4,True,2
21400888114,6.19,20.8,False,2
21400888115,6.19,15.0,True,3
21400888116,7.44,19.2,False,3
21400888117,5.18,17.7,True,3
21400888118,7.71,18.0,False,3
21400888119,7.28,8.2,True,3
21400888120,5.7,0.5,False,3
21400888121,6.28,14.8,True,3
21400888122,5.94,15.6,False,4
21400888123,7.5,0.0,False,4
21400888124,8.05,0.0,False,4
21400899133,5.64,20.3,False,3
21400890136,6.19,12.5,False,1
21400890137,6.8,13.6,True,1
21400890138,2.04,15.5,False,2
21400890139,6.43,14.7,True,2
21400890141,5.21,8.3,False,2
21400890142,6.92,19.3,True,2
21400890143,8.56,0.0,False,2
21400890144,6.13,11.0,False,3
21400890145,1.46,20.0,True,3
21400890146,0.94,15.9,True,3
21400890147,1.95,9.8,True,3
21400890148,6.89,12.9,True,4
21400890150,6.49,3.2,False,4
21400882151,5.12,15.1,False,2
21400882152,4.3,6.3,False,2
21400882153,5.15,15.3,False,2
21400882154,6.74,0.0,True,2
21400882155,4.85,19.3,True,3
21400882156,6.83,19.6,True,3
21400882157,6.13,7.9,True,3
21400882158,7.41,4.6,False,3
21400882159,6.98,8.2,True,3
21400882160,5.39,12.9,False,4
21400882161,0.98,21.5,True,4
21400882162,7.01,11.2,False,4
21400882163,0.82,8.3,True,4
21400890195,3.93,13.3,True,2
21400890196,5.49,15.2,False,2
21400882197,7.22,8.1,False,2
21400882198,1.16,21.1,True,2
21400882199,2.83,11.4,False,2
21400882200,5.15,18.6,True,2
21400882201,0.37,20.1,False,2
21400882202,6.19,5.6,False,4
21400882203,7.53,7.8,False,4
21400899207,6.68,21.9,True,2
21400899209,7.59,17.8,True,2
21400899210,0.73,16.3,False,2
21400899211,0.79,16.2,False,2
21400890217,7.44,21.5,False,4
21400882218,3.54,10.1,True,1
21400882219,7.68,9.6,True,2
21400882220,3.84,10.0,False,2
21400882221,6.58,11.0,True,3
21400882222,7.68,14.5,False,3
21400882223,7.04,22.3,False,4
21400898226,7.41,14.0,True,1
21400898227,6.77,3.4,False,1
21400898228,4.02,4.9,False,1
21400898229,7.5,3.8,False,2
21400898230,5.03,8.3,False,3
21400898231,6.07,11.6,True,3
21400898232,1.04,18.1,True,3
21400898233,7.92,10.2,False,3
21400898235,6.83,12.3,True,4
21400898236,3.75,0.0,True,4
21400894237,5.67,13.0,True,1
21400894238,7.56,16.3,False,1
21400894239,2.41,4.7,False,1
21400894240,1.1,18.9,False,1
21400894241,6.83,9.0,False,1
21400894242,7.8,10.0,False,1
21400894243,7.22,7.6,False,2
21400894244,7.38,8.1,False,2
21400894245,7.38,1.5,True,2
21400894246,0.43,12.5,True,3
21400894247,0.61,14.5,True,3
21400894248,6.25,7.0,True,3
21400894249,3.87,19.7,True,3
21400894250,5.67,14.6,False,3
21400894251,0.3,24.0,True,3
21400894252,3.44,8.5,False,3
21400894253,5.15,19.9,True,3
21400894254,3.9,7.7,True,4
21400894255,8.32,2.7,False,4
21400898256,4.24,0.0,False,1
21400898257,4.27,7.5,True,2
21400898258,6.86,2.8,False,2
21400898259,1.62,4.7,True,2
21400898260,6.07,4.7,False,3
21400898262,0.94,22.0,True,4
21400894263,1.1,24.0,True,1
21400894264,4.15,13.0,False,1
21400894266,6.83,8.7,False,2
21400894267,0.76,1.7,True,2
21400904268,0.58,9.2,False,1
21400904271,1.13,9.8,False,2
21400878276,0.73,11.1,True,1
21400878277,1.43,15.1,False,1
21400878278,0.67,24.0,False,1
21400878279,0.55,10.2,True,1
21400878280,4.42,8.8,True,2
21400878281,4.88,12.0,True,2
21400878282,2.47,9.6,False,2
21400878283,5.88,11.7,False,3
21400878285,0.34,2.9,True,4
21400898286,2.38,6.8,True,1
21400898287,5.52,3.8,False,1
21400898288,0.98,16.9,False,1
21400898289,0.67,10.5,True,2
21400898290,0.46,12.8,True,2
21400898291,2.9,11.4,False,3
21400898292,2.07,8.1,True,4
21400898293,5.79,8.8,True,4
21400898294,1.1,3.0,True,4
21400898295,4.88,13.7,True,4
21400894297,0.7,2.2,True,1
21400894298,3.38,10.6,False,1
21400894304,0.7,24.0,False,4
21400894308,2.53,1.2,False,4
21400898310,7.1,7.7,True,1
21400898311,7.53,2.1,False,1
21400898312,7.62,11.3,False,3
21400898313,7.1,9.7,False,3
21400894314,6.61,9.5,False,1
21400894315,7.59,13.4,True,1
21400894316,7.35,14.4,False,1
21400894317,2.5,15.8,False,2
21400894318,6.8,6.8,False,4
21400898319,7.68,11.3,False,1
21400898320,8.11,6.4,False,1
21400898321,7.96,2.1,False,2
21400898322,1.37,5.5,True,3
21400894324,6.86,17.1,True,1
21400894325,7.41,19.8,False,1
21400894326,1.16,17.3,True,2
21400894327,7.68,14.9,False,3
21400894328,7.65,5.0,True,4
21400898329,2.5,8.4,False,1
21400898331,0.12,7.9,True,1
21400898332,7.74,5.8,False,2
21400898333,2.99,11.5,False,2
21400898334,5.39,12.1,False,2
21400898335,5.76,13.7,True,3
21400898336,5.94,9.2,True,3
21400898337,5.79,3.8,False,3
21400898338,4.88,17.0,True,3
21400898339,7.83,10.6,False,4
21400898340,5.97,6.0,True,4
21400898341,7.65,8.6,False,4
21400898342,6.95,9.5,False,4
21400898343,2.38,14.7,False,4
21400898344,2.68,18.8,True,4
21400894346,4.57,4.1,False,1
21400894347,7.96,5.7,False,1
21400894348,4.11,2.5,False,2
21400894349,4.11,9.7,True,2
21400894350,4.94,7.0,True,2
21400894351,7.19,18.2,False,2
21400894352,8.05,12.8,False,2
21400894353,8.02,0.0,False,2
21400894354,7.19,1.1,False,3
21400894355,7.53,5.3,False,3
21400894356,1.68,9.2,False,4
21400898357,1.16,22.5,False,1
21400898358,0.21,19.5,True,1
21400898362,0.61,10.1,True,3
21400898363,1.07,18.1,False,3
21400898365,1.71,19.5,False,4
21400894366,0.03,0.1,False,1
21400894367,0.4,22.2,False,1
21400894371,1.01,5.6,True,3
21400894372,0.58,8.3,True,4
21400894373,1.37,5.8,True,4
21400894374,1.16,20.1,True,4
21400894375,1.68,7.2,True,4
21400905405,4.85,5.5,True,2
21400905406,1.34,12.9,True,2
21400905407,7.25,5.5,False,2
21400905408,5.46,13.0,False,3
21400905410,0.18,20.9,False,3
21400905411,7.38,17.3,True,3
21400905412,7.56,18.2,False,4
21400905413,0.73,10.2,True,4
21400905414,6.0,19.3,True,4
21400905415,5.64,14.1,False,4
21400905416,8.11,0.0,False,4
21400890417,7.13,13.6,True,1
21400890418,5.3,9.9,True,1
21400890419,5.91,18.5,False,1
21400890420,1.1,13.3,False,2
21400890421,1.98,20.7,False,2
21400890422,5.79,14.7,False,2
21400890423,5.09,3.3,True,3
21400890424,1.98,13.6,False,3
21400890425,7.5,5.8,True,3
21400878433,0.73,13.0,False,1
21400878434,1.77,11.3,True,2
21400878435,5.18,9.2,False,2
21400878436,0.91,22.6,True,2
21400878437,7.77,1.8,False,3
21400878438,7.83,2.6,False,3
21400878439,0.7,14.2,True,4
21400878440,0.64,12.3,True,4
21400878441,4.57,18.3,True,4
21400878442,1.68,15.6,False,4
21400878443,1.25,16.7,False,4
21400878444,7.35,8.0,True,4
21400878445,0.76,19.8,True,4
21400878446,3.93,21.6,False,4
21400905465,7.35,12.5,True,1
21400905466,3.81,18.5,True,1
21400905467,6.55,13.2,False,1
21400905468,5.27,18.2,False,1
21400905469,0.73,21.6,True,1
21400905470,7.38,16.9,False,2
21400905471,1.89,11.6,True,2
21400905472,7.19,13.0,True,2
21400905473,3.81,14.9,False,3
21400905474,1.34,18.2,False,3
21400905475,7.68,5.3,False,3
21400905476,2.71,16.8,False,3
21400905477,0.4,19.6,True,3
21400905478,6.83,9.9,False,3
21400905479,6.46,10.1,False,4
21400890480,7.25,11.3,True,1
21400890481,5.39,17.4,True,1
21400890482,7.41,13.4,False,1
21400890483,6.31,7.5,False,2
21400890484,5.27,20.2,False,2
21400890485,5.52,17.6,False,3
21400890486,1.22,4.6,False,3
21400890487,1.62,15.8,False,4
21400878488,7.59,15.5,False,1
21400878489,1.22,11.0,True,1
21400878490,7.04,18.0,False,2
21400878491,0.73,20.3,True,2
21400878492,5.7,9.9,True,2
21400878493,5.46,5.0,False,2
21400878494,6.61,16.8,True,3
21400878495,7.38,13.9,True,3
21400878496,7.01,11.5,False,4
21400878497,7.28,18.0,False,4
21400878498,7.56,14.0,False,4
21400878499,1.4,11.6,False,4
21400878500,5.85,23.0,False,4
21400878501,7.07,22.2,False,4
21400878502,7.25,8.6,False,4
21400905503,6.0,8.7,False,2
21400905504,1.25,7.5,True,2
21400905505,7.35,11.0,True,2
21400905506,1.13,18.4,True,4
21400905507,6.71,9.5,True,4
21400905508,5.18,18.8,False,4
21400905509,7.32,14.2,False,4
21400905510,6.61,14.3,True,4
21400905511,7.38,13.0,False,4
21400905512,4.3,0.0,False,4
21400890513,1.34,19.9,True,1
21400890514,6.95,11.1,False,2
21400890515,0.55,24.0,False,2
21400890516,0.91,24.0,True,2
21400890517,7.71,20.4,False,2
21400890518,6.89,6.0,True,4
21400890519,1.4,19.2,True,4
21400878520,5.73,18.9,True,1
21400878521,6.92,11.1,False,2
21400878522,6.37,8.2,False,2
21400878523,1.13,18.4,False,2
21400878524,0.94,7.2,False,2
21400878525,6.83,15.3,True,2
21400878526,7.59,11.6,True,2
21400878527,7.56,18.3,False,2
21400905528,6.25,3.3,False,1
21400905529,1.34,16.2,False,2
21400905530,4.18,15.0,False,2
21400905531,6.13,12.1,True,2
21400905533,2.47,11.6,False,4
21400905534,5.52,15.9,True,4
21400905535,1.68,4.3,False,4
21400905536,6.22,2.0,False,4
21400905538,5.12,11.7,False,4
21400905539,0.7,11.2,True,4
21400905541,7.65,0.0,False,4
21400890542,4.51,11.4,False,1
21400890543,6.49,11.1,False,1
21400890545,3.99,6.4,False,2
21400890546,5.94,7.6,False,2
21400890547,6.04,11.8,False,3
21400890549,1.89,6.7,True,4
21400890550,6.07,10.2,True,4
21400890551,6.49,4.0,False,4
21400890552,5.67,6.5,True,4
21400890553,6.07,17.0,False,4
21400890554,0.55,0.0,True,4
21400878555,5.03,18.1,False,1
21400878556,5.36,5.9,True,2
21400878557,2.32,7.8,False,2
21400878558,5.79,4.6,False,2
21400878559,6.55,15.1,True,3
21400878560,6.61,15.0,True,4
21400878561,3.26,16.2,True,4
21400878562,1.55,12.4,False,4
21400878563,1.46,12.2,False,4
21400878564,7.71,0.0,True,4
21400890568,4.69,11.4,True,1
21400890569,3.02,18.6,False,1
21400890570,4.94,15.0,True,1
21400890571,5.0,2.0,False,2
21400890572,3.54,6.3,False,3
21400890573,6.19,1.6,False,3
21400878574,4.02,15.0,True,1
21400878575,2.1,7.7,False,1
21400878576,2.38,9.1,False,3
21400878577,2.9,7.4,True,3
21400878578,1.89,17.0,True,3
21400907579,1.68,10.0,False,1
21400907580,7.01,14.0,False,1
21400907581,0.43,12.0,True,1
21400907583,1.19,18.3,False,2
21400907584,5.61,11.5,True,2
21400907585,6.95,5.1,False,3
21400886592,6.98,16.3,False,4
21400880593,6.92,15.1,True,1
21400880594,7.65,17.6,True,1
21400880596,7.53,7.1,False,1
21400880597,0.49,24.0,False,1
21400880598,5.85,11.0,True,2
21400880599,6.83,13.4,False,2
21400880600,5.03,13.8,False,2
21400880601,7.56,17.4,True,2
21400880602,6.89,12.7,False,3
21400880603,1.71,6.1,False,3
21400880604,6.98,16.0,False,3
21400880605,0.88,24.0,True,3
21400880606,2.47,7.7,True,4
21400880607,2.13,16.3,False,2
21400880608,1.46,10.1,False,2
21400907609,2.44,16.3,False,1
21400907610,7.89,16.6,False,1
21400907611,7.25,11.0,True,1
21400907612,8.38,18.5,True,1
21400907613,8.93,0.0,False,1
21400907615,2.87,0.6,False,2
21400907616,7.77,17.6,False,3
21400907617,7.47,20.2,False,3
21400907618,7.19,13.3,False,4
21400907619,7.22,13.1,True,4
21400907620,8.44,16.6,True,4
21400907621,8.32,18.0,True,4
21400907622,7.28,17.0,False,4
21400907623,2.01,15.5,False,4
21400907624,7.1,20.5,True,4
21400886634,7.25,18.8,False,4
21400886635,7.62,21.4,False,4
21400886637,7.25,14.8,True,4
21400880641,0.27,17.8,True,1
21400880642,7.77,19.2,True,1
21400880643,1.01,9.5,False,1
21400880644,7.47,6.0,False,1
21400880645,3.47,16.3,True,1
21400880647,7.68,17.6,True,1
21400880648,3.87,17.4,True,1
21400880649,6.95,17.6,False,1
21400880650,7.5,15.6,False,1
21400880651,7.04,16.0,False,2
21400880652,1.83,18.2,True,2
21400880653,7.77,21.0,True,2
21400880656,1.16,21.5,True,3
21400880657,7.41,20.9,True,3
21400880658,7.07,11.9,False,3
21400880659,7.47,17.1,True,4
21400880661,7.44,17.3,False,4
21400880662,5.64,12.0,True,4
21400907663,2.35,12.1,True,1
21400907664,2.44,12.2,False,1
21400907665,7.53,0.0,True,1
21400907666,7.56,6.6,True,2
21400907667,7.92,19.1,False,2
21400907668,6.92,19.1,False,2
21400907669,7.62,13.6,True,2
21400907670,1.34,19.0,True,2
21400907671,3.05,11.1,False,3
21400907672,5.58,14.0,False,3
21400907673,3.41,3.0,False,3
21400907674,8.47,0.0,False,3
21400907675,4.11,10.1,False,4
21400907676,7.96,1.0,False,4
21400907677,1.46,6.9,False,4
21400907678,7.19,8.4,False,4
21400886685,8.2,19.6,False,2
21400880696,5.55,16.1,True,1
21400880697,8.23,16.9,False,1
21400880698,7.56,13.3,False,1
21400880699,7.04,16.7,True,1
21400880700,7.35,16.4,False,1
21400880701,3.87,18.5,True,2
21400880702,7.53,9.6,False,2
21400880703,0.61,16.8,True,2
21400880704,1.01,12.5,True,2
21400880705,5.27,18.0,False,2
21400880707,6.58,8.9,True,3
21400880708,7.22,4.8,False,3
21400880709,5.7,11.6,False,3
21400880711,2.56,14.4,True,3
21400880712,7.47,3.5,False,3
21400880713,6.71,18.7,True,3
21400880714,7.38,12.8,True,3
21400880715,7.35,16.0,False,3
21400880716,5.3,13.5,False,4
21400880717,2.35,1.2,False,4
21400907725,2.68,20.5,False,2
21400907726,0.91,15.0,True,2
21400907727,1.95,12.8,True,3
21400907728,2.56,18.4,True,3
21400907729,4.51,6.0,True,3
21400907730,3.84,8.4,False,3
21400907731,2.26,13.6,True,4
21400907732,2.44,8.2,False,4
21400907733,1.19,14.1,True,4
21400907734,0.82,4.5,True,4
21400886739,1.43,19.7,False,2
21400880743,4.42,13.1,False,2
21400880744,2.96,18.0,False,2
21400880745,4.69,0.0,True,3
21400880746,1.68,12.0,True,4
21400880747,3.81,9.4,False,4
21400907768,7.59,15.8,False,1
21400907769,7.35,5.8,True,3
21400907770,0.82,8.4,False,4
21400907771,0.73,7.7,True,4
21400886774,5.79,9.7,True,2
21400886775,2.04,17.1,False,2
21400880780,0.3,19.9,True,3
21400880782,0.91,10.4,True,4
21400880783,0.94,1.3,True,4
21400907784,7.68,1.6,False,1
21400907785,0.4,20.2,True,1
21400907786,0.79,0.0,True,1
21400907787,7.71,7.3,True,1
21400907788,7.59,1.4,True,1
21400907789,7.56,1.0,False,1
21400907790,7.5,8.0,True,2
21400907791,9.11,0.4,False,2
21400907792,7.68,12.9,False,2
21400907793,7.53,12.5,False,3
21400907794,1.01,19.4,True,3
21400907795,7.68,6.0,True,4
21400907796,1.19,20.8,True,4
21400907797,0.76,24.0,True,4
21400880803,7.53,9.6,False,1
21400880804,1.8,15.2,False,1
21400880805,1.68,18.4,False,1
21400880808,7.65,17.8,False,3
21400880809,7.47,2.7,True,4
21400880810,2.04,11.8,False,4
21400880811,7.62,16.4,True,4
21400880813,1.4,14.0,True,4
21400880814,1.62,5.3,False,4
21400880815,0.67,4.6,True,4
21400892816,1.19,18.0,True,1
21400892817,0.27,24.0,True,2
21400892818,6.25,9.6,True,2
21400892819,2.19,13.0,False,2
21400892820,6.1,14.8,False,2
21400892821,5.7,4.3,False,3
21400892822,0.67,14.0,True,3
21400892823,5.79,9.0,True,3
21400892824,1.71,4.1,True,3
21400892825,1.19,14.4,True,3
21400892826,4.97,14.0,False,3
21400892827,1.92,12.7,False,4
21400892828,0.7,13.8,True,4
21400892829,5.88,12.1,True,4
21400892830,1.95,14.3,False,1
21400892831,2.16,7.7,True,1
21400892832,1.49,12.5,False,1
21400892833,7.35,17.1,True,2
21400892834,4.6,13.4,False,2
21400892835,1.43,17.7,False,2
21400892836,1.19,6.2,True,2
21400892837,7.35,10.9,True,3
21400892838,6.25,13.0,True,3
21400892839,7.38,17.1,False,3
21400892840,6.74,0.0,False,3
21400892841,1.49,3.5,False,4
21400892842,5.39,17.3,True,4
21400892843,5.09,15.1,False,4
21400892844,5.15,12.0,True,1
21400892845,5.88,12.4,False,1
21400892846,1.28,8.2,False,1
21400892847,2.13,9.2,False,1
21400892848,1.95,6.8,False,2
21400892849,4.57,23.1,False,2
21400892850,0.52,14.9,False,2
21400892851,0.52,14.8,True,2
21400892852,7.59,14.7,False,3
21400892853,7.62,20.2,False,3
21400892854,1.28,19.0,True,3
21400892855,1.31,11.6,True,3
21400892856,1.86,17.0,True,4
21400892857,0.09,18.4,True,4
21400892858,6.46,11.0,False,4
21400892859,1.68,8.0,False,4
21400892860,1.58,13.7,True,1
21400892861,6.46,22.7,False,1
21400892862,6.34,8.1,True,2
21400892863,6.49,9.5,False,2
21400892864,8.26,16.7,False,2
21400892865,7.25,21.3,False,3
21400892866,8.84,1.6,True,1
21400892867,7.65,15.3,False,3
21400892868,7.71,3.3,False,4
21400892869,7.5,10.1,False,1
21400892870,11.83,0.0,False,1
21400892871,2.32,4.4,False,2
21400892872,0.94,11.2,False,2
21400892873,7.62,11.8,False,3
21400892874,6.31,10.6,False,2
21400892875,5.97,8.0,False,2
21400892876,2.96,15.1,True,2
21400892877,4.51,16.0,False,2
21400892878,6.55,7.4,False,4
21400892879,0.46,11.6,True,4
21400892880,3.47,15.8,True,4
21400892881,7.47,17.9,False,4
21400892882,7.62,12.0,True,4
21400892883,7.62,12.0,False,4
21400892884,6.37,13.5,False,1
21400892885,1.07,11.9,True,1
21400892886,7.56,15.4,True,1
21400892887,5.15,18.2,False,1
21400892888,2.23,5.0,True,2
21400892889,7.53,14.3,False,3
21400892890,3.41,9.5,True,3
21400892891,5.0,15.6,False,3
21400892892,1.92,16.0,True,3
21400892893,1.28,8.8,True,4
21400892894,7.22,20.6,True,4
21400892895,7.56,15.7,False,4
21400892896,0.67,24.0,True,1
21400892897,0.61,21.2,False,1
21400892898,1.1,15.5,True,2
21400892899,0.82,18.0,True,3
21400892900,7.35,19.1,False,3
21400892901,7.28,17.5,True,4
21400893902,1.65,18.3,False,1
21400893903,0.46,24.0,True,1
21400893904,3.23,4.8,False,1
21400893905,0.76,15.7,True,1
21400893906,0.82,17.1,True,2
21400893907,0.88,7.9,True,2
21400893908,0.34,11.3,True,2
21400893909,3.54,17.0,False,3
21400893910,0.27,12.5,True,4
21400893911,6.77,13.6,True,1
21400893912,6.98,8.3,True,2
21400893913,6.89,15.7,False,2
21400893914,5.73,9.9,False,3
21400893915,3.57,11.5,True,4
21400893916,6.04,13.0,False,1
21400893917,4.51,15.5,False,1
21400893918,1.95,12.2,True,1
21400893919,5.21,10.5,True,2
21400893920,3.99,3.8,False,2
21400893921,0.61,11.0,False,2
21400893922,6.16,12.9,False,3
21400893923,6.37,8.8,True,3
21400893924,7.22,18.8,False,3
21400893925,5.91,7.9,True,3
21400893926,0.43,4.0,False,4
21400893927,7.59,20.0,False,4
21400893928,5.39,13.5,False,4
21400893929,6.95,11.4,False,4
21400893930,1.34,11.7,True,4
21400893931,1.25,9.4,True,4
21400893932,7.74,16.4,False,4
21400893933,7.83,0.0,False,4
21400906934,0.98,0.0,True,1
21400906935,3.9,14.5,False,2
21400906936,8.35,1.4,False,4
