coach_id,team_name
0,Atlanta Hawks
1,Boston Celtics
3,Brooklyn Nets
4,Chicago Bulls
5,Charlotte Hornets
7,Cleveland Cavaliers
8,Dallas Mavericks
9,Denver Nuggets
10,Detroit Pistons
11,Golden State Warriors
13,Houston Rockets
14,Indiana Pacers
15,Los Angeles Clippers
16,Los Angeles Lakers
17,Memphis Grizzlies
18,Miami Heat
19,Milwaukee Bucks
20,Minnesota Timberwolves
21,New Orleans Pelicans
23,New York Knicks
24,Oklahoma City Thunder
25,Orlando Magic
26,Philadelphia 76ers
28,Phoenix Suns
29,Portland Trail Blazers
30,Sacramento Kings
31,San Antonio Spurs
32,Toronto Raptors
33,Utah Jazz
34,Washington Wizards